"Product","Available_quantity","Statement"
"Rice (500gm)","5 packets","Thank you for reaching out! Experience the taste of tradition with our aromatic, premium-quality rice, perfect for every meal."
"Salt (1kg)","5 packets","Thank you for choosing us! Our pure, crystal-clear salt adds the perfect touch of flavor to your favorite dishes."
"Atta (1kg)","2 packets","Thank you for connecting! Enjoy the wholesome goodness of freshly milled atta for soft, fluffy rotis every time."
"Sugar (1kg)","3 packets","Thank you for shopping with us! Our sugar is fine, pure, and the sweetest addition to your recipes and beverages."
"Potato (1kg)","5 kg","Thank you for visiting! Our farm-fresh potatoes bring natural taste and perfect texture to every meal."
"Onion (1kg)","5 kg","Thank you for reaching out! Our onions are crisp, flavorful, and the heart of every delicious dish."
"Carrot (1kg)","4 kg","Thank you for shopping with us! Enjoy the juicy crunch of our sweet, farm-fresh carrots, perfect for snacking and cooking."
"Mustard Oil (1L)","2 bottles","Thank you for choosing us! Experience the bold, authentic flavor of pure mustard oil for your culinary creations."
"Cheese (200gm)","2 packets","Thank you for contacting us! Dive into the rich, creamy delight of our premium cheese â€” a treat for every palate."
"Butter (100gm)","2 packets","Thank you for visiting! Our butter is a rich, creamy indulgence that melts perfectly into your favorite recipes."
"Ponir (200gm)","2 packets","Thank you for reaching out! Our fresh, tender ponir is perfect for curries, grills, and salads."
"Fish (500gm)","3 packets","Thank you for shopping with us! Our fish is carefully selected for ultimate freshness, flavor, and nutrition."
"Mutton (1kg)","2 packets","Thank you for choosing us! Relish the rich, tender cuts of our premium mutton, ideal for exquisite meals."
"Chocolate (100gm)","5 pieces","Thank you for connecting! Indulge your senses with our luscious, melt-in-the-mouth chocolates."
"Pen","10 pieces","Thank you for visiting! Our pens deliver smooth, effortless writing for every creative thought."
"Pencil","10 pieces","Thank you for shopping with us! Our pencils are sturdy, smooth, and perfect for students and artists alike."
"Color (box)","2 boxes","Thank you for reaching out! Unleash your imagination with our vibrant, high-quality colors."
"Perfume (100ml)","2 bottles","Thank you for choosing us! Captivate your senses with our long-lasting, refreshing fragrances."
"Biography Book","2 copies","Thank you for contacting us! Dive into inspiring life stories with our carefully curated biography collection."
"Toys","5 items","Thank you for shopping with us! Bring joy and smiles with our safe, creative, and exciting toys."
"Water bottle (1L)","3 bottles","Thank you for visiting! Stay refreshed on the go with our stylish, durable water bottles."
"Lays (small pack)","5 packets","Thank you for reaching out! Savor the crispy, irresistible crunch of our Lays snacks."
"Bread (400gm)","2 packets","Thank you for choosing us! Enjoy the soft, fluffy freshness of our bakery-fresh bread."
"Tea (250gm)","2 packets","Thank you for connecting! Experience a soothing, aromatic tea break with our premium blends."
"Coffee (200gm)","2 packets","Thank you for visiting! Awaken your senses with the rich, bold flavor of our premium coffee."
